Date;Filière;Valeur (GW)
16/01/2021;Disponibilité du parc nucléaire;50,17726
17/01/2021;Disponibilité du parc nucléaire;50,98642
18/01/2021;Disponibilité du parc nucléaire;51,05847
19/01/2021;Disponibilité du parc nucléaire;49,10132
20/01/2021;Disponibilité du parc nucléaire;50,50737
21/01/2021;Disponibilité du parc nucléaire;49,17895
22/01/2021;Disponibilité du parc nucléaire;49,65084
23/01/2021;Disponibilité du parc nucléaire;51,0576
24/01/2021;Disponibilité du parc nucléaire;51,59083
25/01/2021;Disponibilité du parc nucléaire;50,13323
26/01/2021;Disponibilité du parc nucléaire;49,97737
27/01/2021;Disponibilité du parc nucléaire;50,71891
28/01/2021;Disponibilité du parc nucléaire;49,87698
29/01/2021;Disponibilité du parc nucléaire;49,32157
30/01/2021;Disponibilité du parc nucléaire;47,19687
31/01/2021;Disponibilité du parc nucléaire;48,62215
01/02/2021;Disponibilité du parc nucléaire;49,95542
02/02/2021;Disponibilité du parc nucléaire;50,23851
03/02/2021;Disponibilité du parc nucléaire;50,13847
04/02/2021;Disponibilité du parc nucléaire;50,35088
05/02/2021;Disponibilité du parc nucléaire;50,5949
06/02/2021;Disponibilité du parc nucléaire;48,5075
07/02/2021;Disponibilité du parc nucléaire;47,92116
08/02/2021;Disponibilité du parc nucléaire;48,01708
09/02/2021;Disponibilité du parc nucléaire;48,76584
10/02/2021;Disponibilité du parc nucléaire;48,19648
11/02/2021;Disponibilité du parc nucléaire;48,54991
12/02/2021;Disponibilité du parc nucléaire;47,96837
13/02/2021;Disponibilité du parc nucléaire;46,28042
14/02/2021;Disponibilité du parc nucléaire;45,79414
15/02/2021;Disponibilité du parc nucléaire;45,41268
16/02/2021;Disponibilité du parc nucléaire;45,515
17/02/2021;Disponibilité du parc nucléaire;45,15729
18/02/2021;Disponibilité du parc nucléaire;45,08296
19/02/2021;Disponibilité du parc nucléaire;44,59802
20/02/2021;Disponibilité du parc nucléaire;43,09716
21/02/2021;Disponibilité du parc nucléaire;42,53734
22/02/2021;Disponibilité du parc nucléaire;43,64043
23/02/2021;Disponibilité du parc nucléaire;44,39104
24/02/2021;Disponibilité du parc nucléaire;44,595
25/02/2021;Disponibilité du parc nucléaire;44,57177
26/02/2021;Disponibilité du parc nucléaire;44,44396
